Date,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Number 7,Number 8,Number 9,Number 10,Number 11,Number 12,Number 13,Number 14,Number 15,Number 16,Number 17,Number 18,Number 19,Number 20
"2023-01-16","01","04","06","16","18","19","21","27","28","29","30","31","38","46","53","56","61","62","63","68"
"2023-01-15","03","05","07","11","18","24","26","29","30","33","34","42","47","50","53","58","60","62","63","67"
"2023-01-14","05","06","18","21","26","30","31","34","36","37","39","45","49","51","52","57","64","65","68","69"
"2023-01-13","03","07","09","10","11","12","13","14","19","21","22","25","29","33","34","37","41","45","55","56"
"2023-01-12","02","06","08","10","16","23","24","25","34","37","41","42","45","50","54","55","56","59","62","65"
"2023-01-11","02","04","06","10","15","18","23","25","28","34","37","39","40","43","54","57","61","64","66","70"
"2023-01-10","09","11","12","15","17","28","33","34","35","39","40","42","43","46","48","51","55","59","66","69"
"2023-01-09","03","07","08","09","11","12","17","32","33","35","37","38","42","47","48","53","54","57","62","67"
"2023-01-08","03","05","07","12","15","18","22","24","26","35","41","43","44","45","46","52","58","61","65","68"
"2023-01-07","03","04","05","07","18","20","21","23","30","31","33","38","44","50","52","54","56","59","60","67"
"2023-01-06","01","03","08","18","19","22","30","32","33","36","37","40","41","47","48","50","51","53","54","65"
"2023-01-05","01","02","07","09","11","17","18","20","23","25","26","27","39","40","41","43","44","50","52","54"
"2023-01-04","06","07","17","18","19","22","31","32","35","36","37","44","45","49","54","56","62","63","66","70"
"2023-01-03","02","15","18","23","28","31","33","36","40","42","44","46","47","48","53","56","58","59","60","68"
"2023-01-02","05","08","12","18","24","28","31","33","41","43","46","47","49","51","53","58","62","64","66","68"
"2023-01-01","14","16","20","26","31","35","38","39","42","49","52","54","55","57","59","60","61","65","66","67"
"2022-12-31","01","02","03","04","05","14","19","20","24","38","40","46","47","49","50","51","53","57","60","70"
"2022-12-30","03","08","11","12","14","15","19","22","24","25","31","33","34","37","42","45","47","56","61","70"
"2022-12-29","02","06","10","16","23","32","34","35","38","41","42","45","46","48","53","54","62","63","65","66"
"2022-12-28","05","08","14","16","18","19","21","24","25","30","32","38","40","55","57","58","60","63","65","67"
"2022-12-27","04","09","19","20","24","25","26","27","28","29","40","44","50","53","55","60","62","63","65","69"
"2022-12-26","01","03","15","19","23","26","30","32","34","36","39","42","46","51","55","58","59","60","66","70"
