Date,Draw,"Winning Numbers"
"January 24, 2023",2106897,"25 40 19 20 55 36 18 47 32 24 53 17 16 51 52 61 45 34 44 73 02"
"January 24, 2023",2106896,"07 64 78 51 48 21 09 79 61 40 74 04 12 80 36 58 13 20 69 73 02"
"January 24, 2023",2106895,"43 02 64 60 35 69 25 13 78 57 50 70 01 32 44 47 05 72 45 79 10"
"January 24, 2023",2106894,"31 75 01 69 14 64 39 41 12 11 46 62 29 68 54 25 17 67 22 16 02"
"January 24, 2023",2106893,"20 38 21 31 27 42 35 33 76 11 30 28 54 73 04 12 32 75 05 34 01"
"January 24, 2023",2106892,"78 23 73 39 52 08 57 38 09 49 59 58 31 40 50 67 36 32 55 27 01"
"January 24, 2023",2106891,"42 05 62 24 09 63 08 69 11 26 16 33 25 58 57 50 37 27 73 61 03"
"January 24, 2023",2106890,"09 32 01 56 40 69 47 06 77 24 37 41 44 55 22 11 54 15 21 65 01"
"January 24, 2023",2106889,"26 32 15 46 41 63 16 35 71 49 56 01 62 39 21 58 65 76 77 51 03"
"January 24, 2023",2106888,"70 58 25 23 60 11 52 02 75 72 47 62 20 69 27 38 33 16 37 73 02"
"January 24, 2023",2106887,"02 80 41 29 04 49 38 42 21 48 25 33 71 23 24 36 61 12 26 79 04"
"January 24, 2023",2106886,"14 22 13 31 09 65 50 26 63 04 53 17 45 11 18 41 43 02 36 47 02"
"January 24, 2023",2106885,"72 44 65 06 08 79 24 46 41 09 19 20 70 63 60 42 67 05 37 07 02"
"January 24, 2023",2106884,"37 45 57 40 47 26 52 68 66 33 17 53 73 51 11 18 14 77 55 10 02"
"January 24, 2023",2106883,"36 09 40 32 41 65 56 39 66 18 13 57 11 23 30 24 37 04 78 38 03"
"January 24, 2023",2106882,"38 77 17 52 78 42 26 48 43 54 28 72 16 76 51 31 41 11 60 02 01"
"January 24, 2023",2106881,"63 75 43 30 42 51 02 25 11 29 17 67 56 39 20 05 57 76 13 34 02"
"January 24, 2023",2106880,"78 07 43 64 51 63 05 18 21 66 73 11 01 17 68 10 56 37 54 46 01"
"January 24, 2023",2106879,"21 44 80 77 13 48 47 11 12 23 70 66 18 30 04 06 02 03 53 59 04"
"January 24, 2023",2106878,"77 12 22 21 43 59 13 50 73 41 48 79 34 61 27 53 07 37 47 19 05"
"January 24, 2023",2106877,"64 36 10 01 24 45 72 22 62 58 78 74 70 50 33 66 38 03 80 39 02"
"January 24, 2023",2106876,"56 74 25 03 31 08 09 33 48 30 75 49 58 38 66 10 59 35 67 51 02"
"January 24, 2023",2106875,"40 08 60 21 56 45 42 36 25 37 07 63 29 28 38 51 77 22 53 15 04"
"January 24, 2023",2106874,"73 19 11 78 71 01 43 05 60 33 20 63 34 28 69 35 74 56 12 04 02"
"January 24, 2023",2106873,"73 02 69 39 74 70 79 48 44 68 45 51 31 01 66 32 22 63 62 08 02"
"January 24, 2023",2106872,"78 17 16 38 22 45 58 71 57 28 64 03 36 59 33 55 75 68 20 50 01"
"January 24, 2023",2106871,"61 78 08 50 20 65 43 66 28 11 41 44 12 33 59 03 69 64 27 18 03"
"January 24, 2023",2106870,"68 79 76 27 21 63 48 11 53 18 77 78 42 24 55 66 64 29 06 39 01"
"January 24, 2023",2106869,"05 08 62 49 69 09 46 04 12 47 76 41 23 40 44 59 17 07 80 67 02"
"January 24, 2023",2106868,"32 04 63 28 72 62 23 46 19 77 37 45 53 69 25 22 54 60 66 11 01"
