Data;Conc;N1;N2;N3;N4;N5;N6;Jolly;S.Star
07/01/1939;1;24;27;40;58;73;85;9;0
14/01/1939;2;4;10;18;31;35;86;85;0
21/01/1939;3;15;23;29;36;37;68;76;0
28/01/1939;4;24;47;52;56;73;76;58;0
04/02/1939;5;2;14;32;37;53;70;33;0
11/02/1939;6;4;18;19;26;33;82;79;0
18/02/1939;7;2;21;26;33;51;88;68;0
25/02/1939;8;3;8;51;78;79;88;22;0
04/03/1939;9;1;2;9;24;28;59;85;0
11/03/1939;10;25;29;35;68;81;86;15;0
18/03/1939;11;1;12;27;38;52;69;3;0
25/03/1939;12;5;22;33;43;75;88;21;0
01/04/1939;13;5;19;26;28;53;71;77;0
08/04/1939;14;14;21;25;37;40;64;42;0
15/04/1939;15;9;30;31;38;39;49;7;0
22/04/1939;16;3;19;29;59;64;67;86;0
29/04/1939;17;4;6;15;35;44;56;50;0
06/05/1939;18;17;20;36;75;88;89;73;0
13/05/1939;19;34;42;45;73;79;89;1;0
20/05/1939;20;13;17;34;35;65;78;2;0
27/05/1939;21;21;38;40;59;77;78;13;0
03/06/1939;22;20;22;25;29;69;70;67;0
10/06/1939;23;23;28;55;64;66;86;6;0
17/06/1939;24;10;13;15;67;84;88;30;0
24/06/1939;25;18;24;32;40;75;89;61;0
01/07/1939;26;27;30;42;47;68;75;74;0
08/07/1939;27;10;17;21;23;37;53;45;0
15/07/1939;28;14;20;22;27;57;79;66;0
22/07/1939;29;29;38;43;50;53;65;21;0
29/07/1939;30;11;14;17;23;40;74;85;0
05/08/1939;31;18;35;55;58;72;75;51;0
12/08/1939;32;3;21;47;49;69;72;40;0
19/08/1939;33;18;37;50;54;83;85;3;0
26/08/1939;34;10;18;63;67;69;85;89;0
02/09/1939;35;22;25;28;34;44;81;76;0
09/09/1939;36;2;28;33;62;78;79;18;0
16/09/1939;37;37;41;56;69;71;80;68;0
23/09/1939;38;6;21;27;35;42;48;29;0
30/09/1939;39;32;35;42;56;62;71;36;0
07/10/1939;40;6;8;14;28;38;39;9;0
14/10/1939;41;29;41;66;71;75;76;35;0
21/10/1939;42;33;40;52;62;74;82;18;0
28/10/1939;43;9;21;41;67;87;89;18;0
04/11/1939;44;5;17;34;48;73;86;46;0
11/11/1939;45;15;17;48;49;54;65;6;0
18/11/1939;46;21;25;52;54;72;80;42;0
25/11/1939;47;40;41;46;49;61;89;47;0
02/12/1939;48;12;32;38;57;58;79;59;0
09/12/1939;49;5;11;14;70;79;81;84;0
16/12/1939;50;28;44;59;73;77;86;90;0
23/12/1939;51;23;57;66;70;79;84;8;0
30/12/1939;52;20;27;58;76;86;87;56;0
06/01/1940;1;4;27;28;30;74;79;88;0
13/01/1940;2;10;15;51;52;54;60;78;0
20/01/1940;3;14;21;29;38;47;53;77;0
27/01/1940;4;3;22;25;46;59;87;76;0
03/02/1940;5;6;23;32;48;50;59;67;0
10/02/1940;6;4;26;42;68;69;73;48;0
17/02/1940;7;12;18;21;50;51;53;35;0
24/02/1940;8;13;33;35;46;69;86;25;0
02/03/1940;9;4;34;53;61;64;82;15;0
09/03/1940;10;9;53;58;69;71;88;56;0
16/03/1940;11;7;32;58;65;80;89;85;0
23/03/1940;12;19;23;28;54;64;80;53;0
30/03/1940;13;6;28;40;46;67;83;8;0
06/04/1940;14;4;16;18;33;40;59;32;0
13/04/1940;15;3;13;44;63;64;70;47;0
20/04/1940;16;17;18;34;54;63;72;29;0
27/04/1940;17;4;7;29;45;46;58;85;0
04/05/1940;18;29;33;56;57;63;75;1;0
11/05/1940;19;12;15;30;60;81;86;90;0
18/05/1940;20;28;40;47;71;84;85;13;0
25/05/1940;21;22;25;45;48;57;81;18;0
01/06/1940;22;7;28;40;43;59;69;65;0
08/06/1940;23;8;37;51;68;78;85;42;0
15/06/1940;24;36;43;45;47;51;72;76;0
22/06/1940;25;4;8;20;61;73;89;85;0
29/06/1940;26;12;20;24;59;61;86;66;0
06/07/1940;27;10;18;44;80;86;88;51;0
13/07/1940;28;9;15;20;66;86;88;3;0
20/07/1940;29;40;43;56;59;63;74;62;0
27/07/1940;30;22;31;42;55;60;62;54;0
03/08/1940;31;9;24;28;45;66;86;15;0
10/08/1940;32;31;45;51;53;63;84;42;0
17/08/1940;33;1;5;10;32;43;86;71;0
24/08/1940;34;25;38;43;52;76;90;67;0
31/08/1940;35;24;53;70;76;80;90;59;0
07/09/1940;36;1;8;52;73;78;81;34;0
14/09/1940;37;25;28;57;70;76;79;13;0
21/09/1940;38;2;14;22;36;75;79;40;0
28/09/1940;39;1;14;15;23;34;39;59;0
05/10/1940;40;5;18;21;27;48;76;35;0
12/10/1940;41;9;19;45;66;70;74;38;0
19/10/1940;42;13;31;36;69;74;77;18;0
26/10/1940;43;2;32;35;49;63;69;67;0
02/11/1940;44;19;23;32;69;71;78;76;0
09/11/1940;45;38;52;55;58;64;71;65;0
16/11/1940;46;45;57;68;82;84;87;63;0
23/11/1940;47;3;8;32;72;83;86;15;0
30/11/1940;48;3;14;28;45;55;85;41;0
07/12/1940;49;25;31;68;71;78;89;34;0
14/12/1940;50;7;14;16;30;45;88;4;0
21/12/1940;51;24;66;68;77;78;88;65;0
28/12/1940;52;1;11;20;28;32;87;13;0
04/01/1941;1;12;16;44;47;57;78;38;0
11/01/1941;2;3;22;23;57;84;85;19;0
18/01/1941;3;3;11;31;44;53;59;25;0
25/01/1941;4;3;6;41;47;55;76;67;0
01/02/1941;5;20;36;38;49;76;89;40;0
08/02/1941;6;10;44;55;58;74;89;9;0
15/02/1941;7;35;48;51;56;80;84;40;0
22/02/1941;8;16;17;28;29;38;79;20;0
01/03/1941;9;6;20;28;53;62;77;26;0
08/03/1941;10;35;37;38;64;69;81;33;0
15/03/1941;11;26;39;43;69;80;81;77;0
22/03/1941;12;14;30;45;70;73;77;35;0
29/03/1941;13;22;33;36;50;61;89;45;0
05/04/1941;14;1;14;32;60;61;66;53;0
12/04/1941;15;38;47;62;68;73;74;2;0
19/04/1941;16;12;33;44;66;78;80;15;0
26/04/1941;17;10;18;24;48;68;89;64;0
03/05/1941;18;4;31;38;44;79;83;6;0
10/05/1941;19;2;19;24;45;81;90;74;0
17/05/1941;20;17;24;29;32;74;86;71;0
24/05/1941;21;25;30;41;50;56;85;22;0
31/05/1941;22;15;21;38;65;69;70;3;0
07/06/1941;23;2;25;33;35;39;64;85;0
14/06/1941;24;5;16;24;25;62;88;10;0
21/06/1941;25;15;29;30;46;56;89;83;0
28/06/1941;26;5;16;27;40;51;63;26;0
05/07/1941;27;29;30;40;71;77;90;61;0
12/07/1941;28;17;30;37;58;85;87;74;0
19/07/1941;29;36;46;47;50;83;85;68;0
26/07/1941;30;14;17;20;44;50;59;68;0
02/08/1941;31;18;23;36;38;45;48;41;0
09/08/1941;32;31;43;52;69;81;87;47;0
16/08/1941;33;26;27;39;63;82;85;70;0
23/08/1941;34;5;7;50;70;84;90;21;0
30/08/1941;35;5;35;42;60;67;76;15;0
06/09/1941;36;22;25;41;54;67;87;32;0
13/09/1941;37;28;36;49;53;59;60;65;0
20/09/1941;38;10;19;46;59;71;79;86;0
27/09/1941;39;24;28;36;45;69;75;42;0
04/10/1941;40;9;29;39;40;60;78;87;0
11/10/1941;41;5;20;28;32;56;74;84;0
18/10/1941;42;5;14;17;42;57;71;25;0
25/10/1941;43;4;44;55;63;71;73;29;0
01/11/1941;44;11;12;16;39;44;58;63;0
08/11/1941;45;6;11;15;26;35;53;64;0
15/11/1941;46;9;10;30;76;78;89;25;0
22/11/1941;47;16;23;32;58;72;78;71;0
29/11/1941;48;9;10;31;49;58;60;12;0
06/12/1941;49;12;19;24;37;65;87;72;0
13/12/1941;50;7;17;24;25;65;75;46;0
20/12/1941;51;9;31;50;56;57;84;6;0
27/12/1941;52;13;17;27;38;55;59;78;0
03/01/1942;1;9;25;26;42;58;83;52;0
10/01/1942;2;15;18;39;41;46;56;60;0
17/01/1942;3;36;43;61;62;83;87;73;0
24/01/1942;4;8;30;36;56;66;75;59;0
31/01/1942;5;8;23;64;70;77;83;69;0
07/02/1942;6;15;28;36;50;51;62;9;0
14/02/1942;7;15;38;54;74;81;83;49;0
21/02/1942;8;23;26;33;36;84;86;51;0
28/02/1942;9;20;40;54;58;62;64;37;0
07/03/1942;10;37;47;53;55;74;90;70;0
14/03/1942;11;24;42;54;62;70;83;17;0
21/03/1942;12;19;23;30;45;78;79;73;0
28/03/1942;13;26;32;34;41;71;88;78;0
04/04/1942;14;9;20;29;38;44;66;12;0
11/04/1942;15;13;32;44;53;67;87;4;0
18/04/1942;16;16;44;49;54;70;82;89;0
25/04/1942;17;22;29;52;61;62;86;40;0
02/05/1942;18;6;18;33;58;59;84;29;0
09/05/1942;19;1;31;55;61;83;85;5;0
16/05/1942;20;4;22;40;46;61;81;76;0
23/05/1942;21;10;35;41;51;80;88;68;0
30/05/1942;22;13;17;44;47;63;80;42;0
06/06/1942;23;41;51;55;60;70;83;17;0
13/06/1942;24;25;48;49;55;62;75;63;0
20/06/1942;25;1;11;15;28;38;74;46;0
27/06/1942;26;16;18;29;32;54;87;55;0
04/07/1942;27;7;16;23;40;44;53;83;0
11/07/1942;28;16;38;50;53;71;85;61;0
18/07/1942;29;4;28;42;50;58;73;89;0
25/07/1942;30;20;22;28;40;46;75;32;0
01/08/1942;31;10;17;24;38;46;47;41;0
08/08/1942;32;3;30;33;35;73;74;83;0
15/08/1942;33;1;12;35;57;63;87;38;0
22/08/1942;34;2;17;33;44;76;84;31;0
29/08/1942;35;1;2;50;63;69;74;23;0
05/09/1942;36;35;40;57;64;68;72;20;0
12/09/1942;37;7;28;34;36;40;86;29;0
19/09/1942;38;30;35;44;78;82;85;41;0
26/09/1942;39;2;7;12;18;30;75;55;0
03/10/1942;40;4;16;29;42;46;90;3;0
10/10/1942;41;14;39;50;75;77;85;44;0
17/10/1942;42;16;31;38;42;52;77;83;0
24/10/1942;43;6;10;50;56;62;67;90;0
31/10/1942;44;1;20;66;77;89;90;83;0
07/11/1942;45;3;28;51;72;79;84;40;0
14/11/1942;46;7;21;44;58;89;90;32;0
21/11/1942;47;1;9;38;48;62;86;5;0
28/11/1942;48;6;13;18;36;39;58;7;0
05/12/1942;49;2;20;48;62;63;74;77;0
12/12/1942;50;5;25;41;59;66;70;57;0
19/12/1942;51;9;21;37;39;53;57;25;0
26/12/1942;52;9;31;38;44;60;79;56;0
02/01/1943;1;6;11;44;68;69;85;22;0
09/01/1943;2;3;8;30;43;45;86;81;0
16/01/1943;3;1;22;66;74;84;88;83;0
23/01/1943;4;3;27;40;49;66;88;74;0
30/01/1943;5;8;23;34;58;76;89;45;0
06/02/1943;6;9;17;48;49;50;75;35;0
13/02/1943;7;4;46;52;58;62;80;67;0
20/02/1943;8;10;35;36;39;53;86;37;0
27/02/1943;9;10;34;53;62;64;74;77;0
06/03/1943;10;12;30;35;54;68;79;16;0
13/03/1943;11;4;24;32;58;66;89;7;0
20/03/1943;12;21;48;59;64;75;77;67;0
27/03/1943;13;7;26;28;39;47;78;55;0
03/04/1943;14;7;18;50;67;80;89;82;0
10/04/1943;15;11;30;46;49;52;75;86;0
12/06/1943;24;7;11;20;47;74;77;64;0
19/06/1943;25;5;25;55;64;67;76;23;0
26/06/1943;26;18;22;27;32;70;78;13;0
03/07/1943;27;6;11;19;26;48;62;82;0
10/07/1943;28;6;43;45;78;79;80;42;0
17/07/1943;29;3;11;17;51;65;78;89;0
20/11/1943;47;14;19;27;35;51;89;80;0
27/11/1943;48;32;41;46;56;64;69;29;0
04/12/1943;49;5;6;69;71;74;86;33;0
11/12/1943;50;2;28;38;45;51;81;11;0
18/12/1943;51;18;24;58;75;78;86;6;0
25/12/1943;52;9;20;34;36;42;55;84;0
31/12/1943;53;9;13;50;55;72;86;14;0
08/01/1944;1;1;20;50;52;57;63;22;0
15/01/1944;2;4;12;19;21;46;51;41;0
22/01/1944;3;21;48;52;75;76;79;29;0
29/01/1944;4;21;30;35;74;82;86;33;0
05/02/1944;5;8;18;51;65;69;77;23;0
12/02/1944;6;9;11;13;29;69;87;48;0
19/02/1944;7;11;37;38;53;59;64;28;0
26/02/1944;8;2;11;22;60;65;90;48;0
04/03/1944;9;5;23;27;28;40;82;6;0
11/03/1944;10;16;47;56;57;82;85;0;0
18/03/1944;11;45;59;62;75;76;78;61;0
25/03/1944;12;16;27;43;53;54;67;33;0
01/04/1944;13;33;43;47;59;67;70;52;0
08/04/1944;14;3;6;18;20;56;89;87;0
15/04/1944;15;55;61;62;74;77;82;84;0
22/04/1944;16;2;5;10;20;80;87;77;0
29/04/1944;17;12;14;45;53;66;87;51;0
06/05/1944;18;19;20;47;58;69;82;72;0
13/05/1944;19;4;18;27;75;79;85;5;0
20/05/1944;20;12;21;41;44;83;84;6;0
27/05/1944;21;26;28;30;36;67;70;18;0
03/06/1944;22;20;27;35;39;57;63;18;0
