GAME,DATE,TIME,DRAW NUMBER,NUMBERS,PLUS
"KENO 603","03/01/2022","11:55 PM","251435","01-08-10-11-16-23-28-30-32-33-39-43-46-49-53-59-68-69-72-76","3",
"KENO 603","03/01/2022","11:50 PM","251434","03-05-10-11-15-18-19-20-29-30-32-34-36-47-57-61-69-72-74-78","3",
"KENO 603","03/01/2022","11:45 PM","251433","04-06-07-10-12-14-20-22-25-27-29-31-40-43-46-54-66-68-72-75","1",
"KENO 603","03/01/2022","11:40 PM","251432","06-11-15-28-29-31-32-33-46-48-57-59-60-65-68-72-75-76-78-80","3",
"KENO 603","03/01/2022","11:35 PM","251431","07-08-09-22-24-26-30-34-36-39-40-46-54-57-58-65-68-69-70-78","3",
"KENO 603","03/01/2022","11:30 PM","251430","04-13-15-17-19-25-26-27-33-34-40-41-44-51-58-60-61-62-71-75","3",
"KENO 603","03/01/2022","11:25 PM","251429","01-12-14-15-19-28-41-44-45-51-56-58-59-60-64-65-68-73-77-79","3",
"KENO 603","03/01/2022","11:20 PM","251428","05-06-10-11-12-15-16-32-38-40-44-45-46-50-56-59-61-65-69-79","1",
"KENO 603","03/01/2022","11:15 PM","251427","03-06-09-16-26-29-35-41-43-47-48-50-55-59-60-61-63-67-76-79","1",
"KENO 603","03/01/2022","11:10 PM","251426","16-20-21-23-28-38-39-40-42-46-47-57-58-59-60-62-66-69-72-78","1",
"KENO 603","03/01/2022","11:05 PM","251425","01-03-05-07-10-13-18-19-20-22-26-29-34-41-44-46-57-62-63-72","1",
"KENO 603","03/01/2022","11:00 PM","251424","01-02-03-06-10-13-17-18-26-29-30-42-49-57-61-62-65-69-70-76","1",
"KENO 603","03/01/2022","10:55 PM","251423","04-07-08-22-31-32-37-45-53-55-56-60-61-63-64-65-70-72-78-80","3",
"KENO 603","03/01/2022","10:50 PM","251422","02-03-04-07-08-10-11-31-33-39-41-47-54-57-59-65-69-73-78-79","1",
"KENO 603","03/01/2022","10:45 PM","251421","02-06-07-11-14-15-19-20-22-32-36-40-46-51-53-55-56-60-66-73","4",
"KENO 603","03/01/2022","10:40 PM","251420","04-07-09-13-19-25-26-29-32-36-49-50-60-63-64-67-68-69-73-79","1",
"KENO 603","03/01/2022","10:35 PM","251419","01-05-09-12-18-21-25-26-27-40-47-48-61-64-72-74-77-78-79-80","3",
"KENO 603","03/01/2022","10:30 PM","251418","06-13-14-19-20-22-23-24-25-26-29-35-36-37-44-52-55-58-75-80","3",
"KENO 603","03/01/2022","10:25 PM","251417","05-17-18-20-23-24-25-26-27-31-37-47-48-52-63-64-66-67-77-78","3",
"KENO 603","03/01/2022","10:20 PM","251416","03-04-14-16-21-25-33-37-38-39-42-49-55-58-59-67-69-70-71-78","1",
"KENO 603","03/01/2022","10:15 PM","251415","01-02-03-11-14-18-20-22-37-39-43-45-46-49-58-59-67-68-79-80","1",
"KENO 603","03/01/2022","10:10 PM","251414","03-12-13-15-21-27-30-36-38-43-45-54-60-63-64-68-69-78-79-80","1",
"KENO 603","03/01/2022","10:05 PM","251413","04-06-12-13-19-20-21-24-29-32-36-50-51-54-55-56-60-61-75-77","1",
"KENO 603","03/01/2022","10:00 PM","251412","02-07-13-17-19-22-24-25-30-31-35-40-41-42-43-50-54-61-67-79","1",
"KENO 603","03/01/2022","09:55 PM","251411","09-13-14-15-19-28-31-36-38-39-48-50-52-54-57-61-66-70-75-77","3",
"KENO 603","03/01/2022","09:50 PM","251410","05-08-22-23-24-29-30-37-38-41-47-54-59-60-62-63-68-72-75-79","1",
"KENO 603","03/01/2022","09:45 PM","251409","10-14-16-22-25-26-30-31-36-38-44-50-54-56-60-67-70-71-72-77","3",
"KENO 603","03/01/2022","09:40 PM","251408","09-12-16-17-19-21-28-29-41-44-46-47-48-49-54-59-61-62-63-69","3",
"KENO 603","03/01/2022","09:35 PM","251407","03-05-09-10-14-20-23-27-29-31-42-50-56-58-62-63-64-70-76-80","1",
"KENO 603","03/01/2022","09:30 PM","251406","04-08-15-18-21-22-26-30-31-43-46-48-56-60-62-65-69-75-77-78","1",
"KENO 603","03/01/2022","09:25 PM","251405","12-14-19-22-25-27-31-32-34-36-38-43-46-48-54-59-63-67-72-73","1",
"KENO 603","03/01/2022","09:20 PM","251404","04-05-10-12-13-14-15-16-17-19-20-28-38-53-59-67-69-70-76-80","4",
"KENO 603","03/01/2022","09:15 PM","251403","05-11-12-13-21-26-30-32-34-37-38-40-45-47-50-63-69-76-79-80","1",
"KENO 603","03/01/2022","09:10 PM","251402","03-09-10-13-20-22-30-34-49-50-51-53-54-55-58-60-61-68-69-73","1",
"KENO 603","03/01/2022","09:05 PM","251401","01-05-11-13-17-19-20-23-25-34-36-46-50-56-58-59-61-62-69-78","3",
"KENO 603","03/01/2022","09:00 PM","251400","04-06-11-12-13-16-19-22-26-31-38-43-49-59-61-64-75-76-79-80","3",
"KENO 603","03/01/2022","08:55 PM","251399","02-03-19-24-25-28-30-33-34-42-50-52-53-57-64-70-71-74-77-79","1",
"KENO 603","03/01/2022","08:50 PM","251398","07-08-09-14-15-18-20-25-26-29-31-40-49-50-52-59-64-68-71-73","1",
"KENO 603","03/01/2022","08:45 PM","251397","05-07-08-15-17-18-21-23-26-35-38-39-48-58-62-64-65-71-75-76","3",
"KENO 603","03/01/2022","08:40 PM","251396","04-06-10-11-12-16-18-22-29-40-42-56-57-67-68-69-74-75-76-77","1",
