Draw Date,Draw Number,Draw Time,Winning Numbers,Extra
01/23/2023,2543001,00:00,03 07 11 16 18 28 33 36 40 42 46 49 54 55 65 69 70 72 78 80,01
01/23/2023,2543002,00:04,01 03 04 16 18 23 24 38 42 47 49 53 56 59 65 67 68 78 79 80,04
01/23/2023,2543003,00:08,01 08 09 17 19 22 31 32 34 37 44 51 53 59 70 71 76 77 79 80,01
01/23/2023,2543004,00:12,03 05 10 14 17 23 26 27 34 36 40 49 53 54 55 60 64 73 74 76,01
01/23/2023,2543005,00:16,01 03 08 16 17 23 24 25 28 29 32 38 46 49 54 55 65 67 71 79,01
01/23/2023,2543006,00:20,02 09 12 13 21 26 33 35 37 42 46 49 55 61 63 65 69 72 76 79,02
01/23/2023,2543007,00:24,01 04 13 14 18 20 21 27 28 29 37 39 43 44 45 48 65 73 76 80,02
01/23/2023,2543008,00:28,04 05 06 07 09 10 17 18 27 32 43 44 45 48 51 56 57 70 72 73,02
01/23/2023,2543009,00:32,01 07 14 15 20 22 23 25 27 31 43 47 49 50 59 65 67 68 69 72,01
01/23/2023,2543010,00:36,03 14 17 20 24 25 29 32 37 40 41 44 46 59 60 62 68 71 74 79,01
01/23/2023,2543011,00:40,09 11 12 15 16 20 21 32 34 35 41 45 47 50 56 66 67 69 71 76,01
01/23/2023,2543012,00:44,04 24 25 26 27 28 31 32 33 38 39 53 57 59 61 62 67 68 76 77,02
01/23/2023,2543013,00:48,01 08 09 20 23 30 31 35 38 40 47 48 51 52 57 63 71 73 74 80,01
01/23/2023,2543014,00:52,01 03 08 13 18 23 25 27 35 38 43 57 59 62 63 66 68 72 79 80,02
01/23/2023,2543015,00:56,02 12 13 16 21 23 25 29 34 39 50 52 57 60 61 69 70 71 72 79,04
01/23/2023,2543016,01:00,06 17 18 19 21 24 26 27 29 31 34 44 46 50 53 55 56 70 75 79,02
01/23/2023,2543017,01:04,02 03 07 09 19 22 29 35 36 39 44 51 52 53 55 57 62 63 69 74,02
01/23/2023,2543018,01:08,05 13 20 21 25 27 28 29 30 32 37 43 44 53 54 56 57 60 66 80,05
01/23/2023,2543019,01:12,07 14 22 25 31 34 35 37 39 42 51 52 58 61 62 63 67 70 72 77,02
01/23/2023,2543020,01:16,01 06 14 20 21 25 27 29 40 42 43 46 47 50 51 55 65 69 73 79,05
01/23/2023,2543021,01:20,01 03 08 16 17 25 27 28 37 38 52 55 56 58 66 68 72 74 75 80,01
01/23/2023,2543022,01:24,10 14 16 23 25 27 28 33 38 40 53 55 59 61 63 68 69 77 78 79,01
01/23/2023,2543023,01:28,06 09 12 14 16 20 22 27 28 29 33 35 41 48 49 52 56 58 72 74,02
01/23/2023,2543024,01:32,01 06 10 17 19 21 22 26 34 41 47 49 53 55 58 59 62 69 70 74,01
01/23/2023,2543025,01:36,01 04 11 14 15 16 19 21 22 31 35 36 44 50 53 54 67 69 74 78,02
01/23/2023,2543026,01:40,08 11 12 19 20 26 29 41 43 51 52 53 55 56 57 60 61 69 70 72,10
01/23/2023,2543027,01:44,01 05 06 07 15 17 22 26 27 29 35 37 39 40 46 56 62 63 72 73,02
01/23/2023,2543028,01:48,02 09 11 12 15 20 21 28 29 39 40 44 45 51 54 55 57 65 74 77,01
01/23/2023,2543029,01:52,07 13 15 19 23 24 26 36 47 49 50 51 53 55 59 62 65 68 73 74,01
01/23/2023,2543030,01:56,01 10 14 15 17 19 25 28 36 49 51 52 54 58 68 72 74 75 76 77,02
01/23/2023,2543031,02:00,01 03 14 17 22 23 26 29 30 37 46 52 53 56 57 63 66 70 72 80,01
01/23/2023,2543032,02:04,13 19 21 23 25 28 29 32 41 42 44 49 54 55 56 57 61 65 69 71,03
01/23/2023,2543033,02:08,01 03 06 21 24 29 40 43 47 48 53 58 61 63 68 70 72 75 78 79,01
01/23/2023,2543034,02:12,01 11 18 21 29 35 38 39 42 43 44 47 48 51 54 57 67 71 72 76,02
01/23/2023,2543035,02:16,01 13 16 17 23 29 40 44 46 48 52 53 55 56 57 63 66 72 76 78,02
