No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6,   Jackpot, Wins,   Machine  ,Set
590, Sat, 8,Jul,2006, 17,10,49,35,46,42,         0,    0,    Opal    ,  6 
588, Sat, 1,Jul,2006, 47,15,16,46,26,08,   2696385,    0,    Opal    ,  7 
586, Sat,24,Jun,2006, 40,04,02,30,32,38,   2364355,    0,   Topaz    ,  5 
584, Sat,17,Jun,2006, 34,40,03,48,12,05,   2029639,    0,  Moonstone ,  8 
582, Sat,10,Jun,2006, 49,07,47,44,11,35,   1699826,    0,    Opal    ,  6 
580, Sat, 3,Jun,2006, 20,03,27,21,43,06,   1357547,    0,   Topaz    ,  1 
578, Sat,27,May,2006, 11,24,40,27,08,15,   1000000,    0,  Moonstone ,  2 
576, Sat,20,May,2006, 44,20,08,31,30,39,   6310685,    0,   Topaz    ,  3 
574, Sat,13,May,2006, 19,30,01,06,25,16,   5891030,    0,  Moonstone ,  2 
572, Sat, 6,May,2006, 29,02,03,33,34,31,   5486572,    0,    Opal    ,  4 
570, Sat,29,Apr,2006, 02,11,31,29,49,10,   5095075,    0,  Amethyst  ,  2 
568, Sat,22,Apr,2006, 16,08,21,19,07,28,   4684252,    0,    Opal    ,  2 
566, Sat,15,Apr,2006, 38,39,31,23,28,46,   4298667,    0,  Moonstone ,  1 
564, Sat, 8,Apr,2006, 12,23,16,25,07,04,   3910154,    0,  Amethyst  ,  4 
562, Sat, 1,Apr,2006, 26,19,18,43,39,10,   3530425,    0,  Amethyst  ,  7 
560, Sat,25,Mar,2006, 49,27,39,48,13,16,   3151590,    0,  Moonstone ,  6 
558, Sat,18,Mar,2006, 20,44,40,30,14,45,   2774155,    0,   Topaz    ,  7 
556, Sat,11,Mar,2006, 24,16,47,27,46,18,   2391106,    0,   Topaz    ,  6 
554, Sat, 4,Mar,2006, 20,42,29,14,45,11,   1982050,    0,   Topaz    ,  7 
552, Sat,25,Feb,2006, 31,17,03,49,45,37,   1602721,    0,    Opal    ,  8 
550, Sat,18,Feb,2006, 33,47,05,38,10,45,   1221198,    0,  Amethyst  ,  6 
548, Sat,11,Feb,2006, 35,08,32,20,11,28,   1240006,    1,    Opal    ,  8 
546, Sat, 4,Feb,2006, 10,01,47,15,04,48,   8308023,    1,  Amethyst  ,  6 
544, Sat,28,Jan,2006, 43,36,09,13,08,01,   7807016,    0,  Amethyst  ,  8 
